N,P,K,temperature,humidity,ph,rainfall,soil_type,season,district,irrigation,label
98,58,47,32.67,63.94,5.99,791.78,Alluvial Soil,Kharif,Bhavnagar,High,Cotton
111,58,47,32.31,68.58,6.61,860.27,Alluvial Soil,Kharif,Vadodara,High,Cotton
93,48,42,19.76,48.17,7.14,225.15,Alluvial Soil,Rabi,Banaskantha,Medium,Wheat
30,39,25,23.76,32.91,7.39,110.8,Sandy Soil,Rabi,Jamnagar,Low,Cumin
57,46,40,22.04,50.53,6.45,159.43,Loamy Soil,Rabi,Ahmedabad,Low,Mustard
31,49,39,24.96,42.63,6.14,161.71,Loamy Soil,Rabi,Vadodara,Low,Gram
24,31,30,25.22,33.6,6.39,117.05,Alluvial Soil,Rabi,Kutch,Low,Cumin
29,29,31,24.92,28.58,6.23,130.12,Alluvial Soil,Rabi,Mehsana,Low,Cumin
42,30,30,23.02,34.92,6.87,74.65,Sandy Soil,Rabi,Rajkot,Low,Cumin
51,41,38,18.57,54.83,5.8,176.29,Loamy Soil,Rabi,Kutch,Low,Mustard
82,50,40,26.7,65.38,6.01,933.22,Loamy Soil,Kharif,Banaskantha,High,Maize
49,39,34,35.54,42.12,6.06,316.72,Sandy Soil,Kharif,Ahmedabad,Low,Bajra
50,45,40,19.07,52.33,6.0,213.94,Loamy Soil,Rabi,Banaskantha,Low,Mustard
52,41,29,35.22,42.54,5.96,239.86,Loamy Soil,Kharif,Mehsana,Low,Bajra
101,54,34,30.4,67.96,6.64,790.19,Black Soil,Kharif,Junagadh,Medium,Cotton
55,38,42,19.65,54.15,7.08,180.53,Loamy Soil,Rabi,Banaskantha,Low,Mustard
32,24,22,30.52,49.31,5.75,385.98,Loamy Soil,Kharif,Kutch,Low,Sesame
29,48,40,20.98,43.15,7.06,184.54,Black Soil,Rabi,Junagadh,Low,Gram
34,27,23,30.59,51.97,6.17,404.97,Sandy Soil,Kharif,Rajkot,Low,Sesame
105,62,46,32.09,65.64,7.7,660.04,Black Soil,Kharif,Vadodara,High,Cotton
45,34,30,33.18,45.8,6.24,369.62,Loamy Soil,Kharif,Kutch,Low,Sesame
43,48,33,28.7,70.5,6.35,659.6,Black Soil,Kharif,Rajkot,Medium,Groundnut
27,28,23,29.82,53.16,6.09,396.59,Alluvial Soil,Kharif,Rajkot,Low,Sesame
61,39,38,19.89,49.91,5.73,100.57,Loamy Soil,Rabi,Banaskantha,Low,Mustard
51,36,21,29.92,58.24,6.6,457.01,Loamy Soil,Kharif,Mehsana,Low,Castor
87,58,50,31.02,64.53,7.3,848.9,Black Soil,Kharif,Bhavnagar,High,Cotton
89,57,43,26.0,65.25,5.78,925.11,Loamy Soil,Kharif,Vadodara,High,Maize
64,32,38,34.09,40.79,6.47,266.78,Sandy Soil,Kharif,Jamnagar,Low,Bajra
51,43,35,33.1,47.64,5.9,241.14,Sandy Soil,Kharif,Mehsana,Low,Bajra
40,43,33,22.69,44.48,6.39,157.43,Black Soil,Rabi,Rajkot,Low,Gram
36,50,25,21.46,38.39,5.89,138.72,Black Soil,Rabi,Jamnagar,Low,Gram
26,27,33,21.91,37.7,6.79,111.11,Loamy Soil,Rabi,Kutch,Low,Cumin
102,57,39,29.65,59.91,7.13,763.21,Black Soil,Kharif,Vadodara,Medium,Cotton
36,23,26,26.81,52.71,6.42,423.14,Loamy Soil,Kharif,Junagadh,Low,Sesame
67,42,38,22.04,54.24,6.39,181.46,Alluvial Soil,Rabi,Jamnagar,Low,Mustard
48,40,26,29.57,74.33,7.13,690.04,Sandy Soil,Kharif,Junagadh,Medium,Groundnut
104,59,41,32.91,68.98,5.61,821.31,Black Soil,Kharif,Surat,Medium,Cotton
48,35,26,30.45,47.99,6.75,453.11,Alluvial Soil,Kharif,Kutch,Low,Castor
45,30,24,32.63,54.49,6.17,412.6,Alluvial Soil,Kharif,Kutch,Low,Castor
77,47,45,25.09,68.45,6.8,958.35,Red Soil,Kharif,Mehsana,High,Maize
100,48,51,32.56,66.64,6.24,656.44,Black Soil,Kharif,Rajkot,High,Cotton
35,47,33,20.46,43.57,6.46,189.97,Loamy Soil,Rabi,Junagadh,Low,Gram
95,39,50,21.48,45.3,6.41,200.55,Clay Soil,Rabi,Anand,Medium,Wheat
65,31,31,33.89,38.81,7.16,271.8,Loamy Soil,Kharif,Banaskantha,Low,Bajra
68,35,36,18.78,55.54,6.15,189.88,Sandy Soil,Rabi,Kutch,Low,Mustard
91,48,53,31.55,63.65,6.02,828.24,Alluvial Soil,Kharif,Vadodara,Medium,Cotton
48,30,28,31.54,51.51,6.86,459.99,Alluvial Soil,Kharif,Rajkot,Low,Castor
49,25,25,27.16,62.67,6.32,439.45,Loamy Soil,Kharif,Kutch,Low,Castor
31,30,28,21.49,38.5,5.76,99.53,Loamy Soil,Rabi,Kutch,Low,Cumin
96,37,43,20.57,40.17,7.17,211.79,Clay Soil,Rabi,Banaskantha,Medium,Wheat
79,49,54,19.02,49.6,7.11,233.9,Loamy Soil,Rabi,Mehsana,Medium,Wheat
33,32,21,23.53,36.27,6.25,128.14,Sandy Soil,Rabi,Banaskantha,Low,Cumin
62,35,28,20.97,54.61,6.5,177.4,Loamy Soil,Rabi,Ahmedabad,Low,Mustard
57,31,43,32.83,44.39,6.13,341.53,Sandy Soil,Kharif,Kutch,Low,Bajra
35,54,29,24.12,40.24,5.13,179.76,Clay Soil,Rabi,Junagadh,Low,Gram
50,37,32,27.08,71.72,6.7,683.47,Loamy Soil,Kharif,Junagadh,Medium,Groundnut
85,49,47,24.95,68.21,5.43,991.67,Alluvial Soil,Kharif,Mehsana,High,Maize
87,48,37,29.01,71.77,6.51,899.84,Red Soil,Kharif,Ahmedabad,High,Maize
38,27,23,30.78,50.63,6.65,397.75,Alluvial Soil,Kharif,Amreli,Low,Sesame
94,45,47,30.41,68.09,6.45,788.16,Black Soil,Kharif,Vadodara,Medium,Cotton
65,43,33,21.54,53.21,5.93,119.78,Loamy Soil,Rabi,Ahmedabad,Low,Mustard
100,53,43,31.22,65.77,5.93,823.33,Alluvial Soil,Kharif,Vadodara,Medium,Cotton
23,45,43,22.03,42.66,6.22,194.72,Clay Soil,Rabi,Ahmedabad,Low,Gram
44,44,31,28.58,70.65,6.33,656.07,Loamy Soil,Kharif,Bhavnagar,Medium,Groundnut
53,37,32,31.93,34.38,6.79,343.6,Loamy Soil,Kharif,Ahmedabad,Low,Bajra
96,48,39,27.55,66.53,5.93,1000.69,Loamy Soil,Kharif,Ahmedabad,High,Maize
50,39,25,15.96,51.23,6.44,152.98,Alluvial Soil,Rabi,Kutch,Low,Mustard
40,29,20,29.17,52.16,5.42,410.79,Sandy Soil,Kharif,Kutch,Low,Sesame
34,35,23,22.72,34.62,6.09,164.87,Sandy Soil,Rabi,Rajkot,Low,Cumin
37,38,29,27.99,72.65,7.46,654.06,Sandy Soil,Kharif,Amreli,Medium,Groundnut
44,36,31,27.83,73.68,5.14,658.31,Black Soil,Kharif,Bhavnagar,Medium,Groundnut
87,61,43,25.65,65.13,6.36,892.06,Red Soil,Kharif,Ahmedabad,High,Maize
92,51,54,32.26,63.23,6.74,726.51,Black Soil,Kharif,Junagadh,High,Cotton
57,30,30,35.94,42.55,7.05,274.04,Sandy Soil,Kharif,Kutch,Low,Bajra
69,57,36,26.14,74.46,6.38,820.17,Alluvial Soil,Kharif,Vadodara,High,Maize
77,48,39,20.74,47.54,7.17,238.05,Loamy Soil,Rabi,Anand,Medium,Wheat
45,46,35,18.73,50.45,6.18,139.76,Alluvial Soil,Rabi,Ahmedabad,Low,Mustard
32,50,33,21.42,41.28,6.73,165.47,Black Soil,Rabi,Junagadh,Low,Gram
54,38,35,18.08,54.6,7.12,133.68,Sandy Soil,Rabi,Banaskantha,Low,Mustard
54,34,40,19.01,52.35,6.05,209.61,Alluvial Soil,Rabi,Mehsana,Low,Mustard
85,53,47,19.75,52.46,5.33,172.82,Clay Soil,Rabi,Ahmedabad,Medium,Wheat
51,40,22,29.47,56.13,5.71,519.13,Sandy Soil,Kharif,Rajkot,Low,Castor
39,28,24,30.87,47.48,7.18,440.22,Sandy Soil,Kharif,Kutch,Low,Sesame
33,51,47,24.41,43.41,6.86,176.9,Loamy Soil,Rabi,Jamnagar,Low,Gram
48,35,38,35.83,39.02,6.99,260.13,Loamy Soil,Kharif,Kutch,Low,Bajra
39,43,33,28.84,70.24,6.09,682.48,Black Soil,Kharif,Rajkot,Medium,Groundnut
47,23,26,29.92,61.33,6.51,496.78,Loamy Soil,Kharif,Rajkot,Low,Castor
41,42,35,28.31,72.64,7.28,683.12,Loamy Soil,Kharif,Rajkot,Medium,Groundnut
33,39,24,23.49,33.98,6.46,143.43,Loamy Soil,Rabi,Banaskantha,Low,Cumin
53,33,28,32.3,57.61,5.92,479.33,Sandy Soil,Kharif,Anand,Low,Castor
83,52,39,27.53,74.86,6.17,930.57,Red Soil,Kharif,Anand,High,Maize
39,37,22,22.84,35.75,6.66,133.76,Sandy Soil,Rabi,Rajkot,Low,Cumin
92,40,42,19.65,45.93,5.95,240.05,Loamy Soil,Rabi,Mehsana,Medium,Wheat
45,47,33,28.88,71.13,5.79,686.15,Loamy Soil,Kharif,Rajkot,Medium,Groundnut
38,30,28,32.77,37.19,6.56,311.7,Sandy Soil,Kharif,Kutch,Low,Bajra
33,27,33,21.39,38.24,5.7,104.38,Sandy Soil,Rabi,Rajkot,Low,Cumin
32,34,23,19.9,33.66,5.61,113.55,Sandy Soil,Rabi,Banaskantha,Low,Cumin
62,29,32,17.84,50.35,6.17,149.2,Loamy Soil,Rabi,Banaskantha,Low,Mustard
32,56,48,23.86,44.03,6.26,221.43,Loamy Soil,Rabi,Jamnagar,Low,Gram
42,55,43,23.09,44.22,6.83,164.01,Black Soil,Rabi,Jamnagar,Low,Gram
67,35,27,18.85,58.06,7.05,142.32,Sandy Soil,Rabi,Mehsana,Low,Mustard
40,37,27,21.09,40.58,5.7,184.5,Black Soil,Rabi,Rajkot,Low,Gram
36,56,40,23.16,43.52,6.34,210.47,Loamy Soil,Rabi,Ahmedabad,Low,Gram
76,50,44,29.47,72.59,7.05,957.62,Loamy Soil,Kharif,Banaskantha,High,Maize
57,40,36,16.62,53.69,6.03,133.52,Sandy Soil,Rabi,Banaskantha,Low,Mustard
92,47,47,25.76,72.0,5.85,968.74,Red Soil,Kharif,Vadodara,High,Maize
48,30,37,35.32,39.57,6.92,287.53,Sandy Soil,Kharif,Jamnagar,Low,Bajra
42,28,39,23.23,35.46,6.29,106.14,Loamy Soil,Rabi,Mehsana,Low,Cumin
47,37,32,17.89,52.21,6.53,179.16,Sandy Soil,Rabi,Jamnagar,Low,Mustard
105,54,44,31.31,61.0,7.39,800.9,Alluvial Soil,Kharif,Rajkot,Medium,Cotton
115,52,41,29.22,60.09,5.81,891.9,Black Soil,Kharif,Jamnagar,Medium,Cotton
110,48,52,30.54,67.97,6.59,836.88,Black Soil,Kharif,Jamnagar,Medium,Cotton
32,56,34,23.89,38.8,5.54,151.36,Loamy Soil,Rabi,Ahmedabad,Low,Gram
87,57,38,29.79,69.25,7.26,899.65,Red Soil,Kharif,Vadodara,High,Maize
37,53,41,20.19,43.76,6.53,185.75,Loamy Soil,Rabi,Ahmedabad,Low,Gram
39,34,30,20.99,30.93,7.07,132.9,Sandy Soil,Rabi,Kutch,Low,Cumin
33,51,29,24.13,42.84,6.4,167.4,Black Soil,Rabi,Vadodara,Low,Gram
76,52,41,26.78,68.63,6.86,915.27,Red Soil,Kharif,Vadodara,High,Maize
76,45,43,28.51,75.46,5.61,901.71,Alluvial Soil,Kharif,Banaskantha,High,Maize
56,31,24,35.61,35.67,6.3,344.75,Loamy Soil,Kharif,Banaskantha,Low,Bajra
44,34,34,33.6,41.43,5.69,210.61,Sandy Soil,Kharif,Ahmedabad,Low,Bajra
80,43,42,18.29,52.08,7.59,188.21,Alluvial Soil,Rabi,Mehsana,Medium,Wheat
58,31,34,16.58,51.28,7.04,122.45,Loamy Soil,Rabi,Banaskantha,Low,Mustard
60,33,25,19.7,52.01,7.31,155.01,Loamy Soil,Rabi,Kutch,Low,Mustard
86,49,41,31.11,66.06,6.94,901.03,Red Soil,Kharif,Banaskantha,High,Maize
27,48,33,26.66,68.68,7.27,720.71,Loamy Soil,Kharif,Rajkot,Medium,Groundnut
34,50,37,24.01,39.98,6.32,191.96,Loamy Soil,Rabi,Jamnagar,Low,Gram
93,46,41,19.51,51.32,6.01,134.94,Black Soil,Rabi,Banaskantha,Medium,Wheat
107,44,43,18.9,43.6,6.83,196.48,Loamy Soil,Rabi,Rajkot,Medium,Wheat
52,40,30,31.21,59.55,6.51,452.89,Alluvial Soil,Kharif,Mehsana,Low,Castor
37,24,25,29.81,50.49,6.12,413.97,Loamy Soil,Kharif,Junagadh,Low,Sesame
40,50,39,27.09,74.5,6.88,703.67,Loamy Soil,Kharif,Jamnagar,Medium,Groundnut
34,61,38,20.32,45.14,6.53,158.08,Loamy Soil,Rabi,Junagadh,Low,Gram
36,50,26,19.28,38.78,6.4,154.16,Loamy Soil,Rabi,Jamnagar,Low,Gram
40,52,25,26.93,71.12,6.31,687.01,Loamy Soil,Kharif,Amreli,Medium,Groundnut
89,38,46,16.02,47.44,6.2,233.88,Alluvial Soil,Rabi,Ahmedabad,Medium,Wheat
22,24,21,32.65,50.77,6.4,393.2,Sandy Soil,Kharif,Junagadh,Low,Sesame
77,48,45,28.26,71.91,6.3,859.54,Red Soil,Kharif,Ahmedabad,High,Maize
89,40,43,16.86,48.28,5.07,190.35,Black Soil,Rabi,Rajkot,Medium,Wheat
124,61,51,32.1,64.29,6.02,805.17,Black Soil,Kharif,Junagadh,High,Cotton
97,57,44,31.0,64.26,5.91,921.37,Alluvial Soil,Kharif,Bhavnagar,Medium,Cotton
25,29,26,32.47,51.31,6.22,434.65,Loamy Soil,Kharif,Junagadh,Low,Sesame
80,47,38,26.34,67.15,6.99,839.92,Loamy Soil,Kharif,Mehsana,High,Maize
35,31,27,22.17,33.05,6.51,88.32,Loamy Soil,Rabi,Banaskantha,Low,Cumin
91,54,43,25.8,71.47,6.74,944.93,Alluvial Soil,Kharif,Banaskantha,High,Maize
49,41,26,36.3,39.06,7.28,255.67,Sandy Soil,Kharif,Kutch,Low,Bajra
28,29,20,28.03,46.01,6.58,339.54,Loamy Soil,Kharif,Amreli,Low,Sesame
45,28,25,34.13,38.86,6.36,259.67,Loamy Soil,Kharif,Kutch,Low,Bajra
48,40,33,31.63,37.66,6.06,333.58,Sandy Soil,Kharif,Banaskantha,Low,Bajra
67,35,37,18.71,54.53,6.19,179.01,Loamy Soil,Rabi,Kutch,Low,Mustard
90,52,49,34.79,59.96,7.08,864.87,Alluvial Soil,Kharif,Vadodara,High,Cotton
45,38,34,32.91,43.34,6.87,262.13,Loamy Soil,Kharif,Jamnagar,Low,Bajra
34,47,30,20.57,43.83,6.15,147.52,Black Soil,Rabi,Jamnagar,Low,Gram
31,31,26,33.42,48.01,7.01,461.94,Sandy Soil,Kharif,Kutch,Low,Sesame
43,46,32,29.24,70.85,6.21,649.4,Loamy Soil,Kharif,Bhavnagar,Medium,Groundnut
34,21,23,30.77,42.9,6.99,447.58,Loamy Soil,Kharif,Junagadh,Low,Sesame
89,48,44,26.82,63.16,7.15,1038.03,Loamy Soil,Kharif,Banaskantha,High,Maize
84,51,49,32.23,58.85,6.05,795.73,Black Soil,Kharif,Surat,High,Cotton
64,35,32,20.88,47.33,7.21,123.51,Sandy Soil,Rabi,Mehsana,Low,Mustard
93,47,41,34.83,69.44,7.46,718.47,Black Soil,Kharif,Rajkot,High,Cotton
74,49,51,26.16,67.75,6.59,868.77,Alluvial Soil,Kharif,Ahmedabad,High,Maize
36,49,37,21.98,44.59,6.12,193.91,Clay Soil,Rabi,Vadodara,Low,Gram
93,52,47,29.04,61.11,5.95,854.8,Black Soil,Kharif,Amreli,High,Cotton
57,35,29,20.89,49.02,6.54,213.11,Sandy Soil,Rabi,Mehsana,Low,Mustard
71,40,43,18.35,54.04,6.53,207.23,Alluvial Soil,Rabi,Ahmedabad,Low,Mustard
57,42,31,16.84,50.51,5.89,147.67,Sandy Soil,Rabi,Jamnagar,Low,Mustard
87,51,41,26.91,68.57,6.76,906.72,Red Soil,Kharif,Mehsana,High,Maize
37,47,32,20.33,39.35,6.86,182.67,Clay Soil,Rabi,Jamnagar,Low,Gram
100,45,39,28.9,71.78,6.84,959.77,Alluvial Soil,Kharif,Anand,High,Maize
38,45,25,23.56,43.91,5.99,194.96,Loamy Soil,Rabi,Jamnagar,Low,Gram
72,50,35,21.38,53.56,6.39,163.59,Sandy Soil,Rabi,Mehsana,Low,Mustard
83,52,51,20.42,52.07,7.62,194.16,Clay Soil,Rabi,Ahmedabad,Medium,Wheat
28,44,36,23.43,38.73,7.52,162.58,Clay Soil,Rabi,Rajkot,Low,Gram
47,38,39,17.49,54.33,5.75,172.24,Alluvial Soil,Rabi,Ahmedabad,Low,Mustard
64,49,41,27.81,68.26,6.11,899.48,Alluvial Soil,Kharif,Vadodara,High,Maize
33,29,18,30.34,52.75,5.46,423.51,Sandy Soil,Kharif,Amreli,Low,Sesame
54,35,40,17.21,49.57,6.6,163.68,Loamy Soil,Rabi,Ahmedabad,Low,Mustard
44,52,32,31.47,68.19,6.85,708.33,Sandy Soil,Kharif,Jamnagar,Medium,Groundnut
50,33,23,29.33,55.61,6.79,456.12,Sandy Soil,Kharif,Anand,Low,Castor
32,35,30,23.43,37.98,6.54,129.53,Alluvial Soil,Rabi,Mehsana,Low,Cumin
45,45,33,26.89,68.21,6.62,695.25,Loamy Soil,Kharif,Junagadh,Medium,Groundnut
36,42,35,28.34,69.19,6.28,693.88,Sandy Soil,Kharif,Amreli,Medium,Groundnut
52,32,32,31.32,39.54,6.68,311.25,Loamy Soil,Kharif,Jamnagar,Low,Bajra
45,27,22,31.67,55.17,5.47,353.96,Alluvial Soil,Kharif,Kutch,Low,Sesame
94,45,44,19.36,45.34,6.49,180.52,Loamy Soil,Rabi,Anand,Medium,Wheat
46,38,27,37.62,39.76,7.48,240.88,Loamy Soil,Kharif,Banaskantha,Low,Bajra
39,49,22,23.36,37.45,5.44,199.96,Black Soil,Rabi,Vadodara,Low,Gram
51,26,24,28.67,55.18,7.23,503.75,Alluvial Soil,Kharif,Banaskantha,Low,Castor
94,46,49,28.43,59.16,6.41,805.5,Alluvial Soil,Kharif,Jamnagar,Medium,Cotton
51,42,41,20.98,52.73,6.91,153.06,Sandy Soil,Rabi,Banaskantha,Low,Mustard
64,34,32,32.99,37.05,6.64,269.36,Sandy Soil,Kharif,Ahmedabad,Low,Bajra
88,56,51,30.93,67.98,6.18,816.88,Black Soil,Kharif,Vadodara,Medium,Cotton
57,26,34,32.0,41.47,7.45,267.63,Loamy Soil,Kharif,Kutch,Low,Bajra
32,45,39,23.99,42.95,6.0,178.04,Loamy Soil,Rabi,Jamnagar,Low,Gram
32,30,28,31.42,51.24,5.95,378.32,Alluvial Soil,Kharif,Rajkot,Low,Sesame
59,27,26,26.46,55.03,6.73,469.17,Loamy Soil,Kharif,Mehsana,Low,Castor
26,24,33,30.06,46.61,7.13,398.43,Sandy Soil,Kharif,Rajkot,Low,Sesame
93,43,43,21.23,45.77,6.89,250.38,Loamy Soil,Rabi,Mehsana,Medium,Wheat
28,44,39,27.81,73.26,7.19,629.8,Black Soil,Kharif,Junagadh,Medium,Groundnut
52,44,27,30.02,56.43,6.03,363.72,Alluvial Soil,Kharif,Kutch,Low,Castor
29,44,28,28.81,68.46,6.67,618.5,Loamy Soil,Kharif,Rajkot,Medium,Groundnut
54,32,25,30.47,37.51,6.77,287.04,Sandy Soil,Kharif,Ahmedabad,Low,Bajra
55,40,39,17.42,52.66,6.83,191.33,Loamy Soil,Rabi,Kutch,Low,Mustard
36,42,36,29.42,72.28,6.84,596.15,Sandy Soil,Kharif,Junagadh,Medium,Groundnut
56,40,31,33.33,34.81,7.05,312.2,Sandy Soil,Kharif,Ahmedabad,Low,Bajra
88,53,50,19.27,49.29,6.3,201.13,Loamy Soil,Rabi,Rajkot,Medium,Wheat
87,35,45,28.86,69.87,6.54,904.91,Red Soil,Kharif,Anand,High,Maize
89,51,48,32.69,67.37,5.94,697.73,Alluvial Soil,Kharif,Jamnagar,High,Cotton
92,47,41,19.69,45.46,5.43,233.28,Black Soil,Rabi,Rajkot,Medium,Wheat
41,29,26,27.72,48.67,5.75,437.86,Sandy Soil,Kharif,Anand,Low,Castor
57,43,38,18.78,53.01,6.87,180.34,Loamy Soil,Rabi,Banaskantha,Low,Mustard
40,33,15,22.76,41.17,6.54,132.81,Sandy Soil,Rabi,Mehsana,Low,Cumin
49,39,30,28.43,38.11,6.36,267.91,Sandy Soil,Kharif,Kutch,Low,Bajra
51,34,32,31.82,52.55,7.1,367.07,Alluvial Soil,Kharif,Kutch,Low,Castor
74,36,30,22.38,52.15,6.92,147.41,Loamy Soil,Rabi,Kutch,Low,Mustard
29,55,28,27.78,73.15,6.36,635.5,Black Soil,Kharif,Jamnagar,Medium,Groundnut
48,31,26,29.98,51.38,6.99,428.02,Loamy Soil,Kharif,Kutch,Low,Castor
43,32,33,32.43,38.79,6.7,278.03,Loamy Soil,Kharif,Banaskantha,Low,Bajra
56,41,36,20.91,51.45,5.93,163.09,Sandy Soil,Rabi,Ahmedabad,Low,Mustard
89,55,49,33.28,62.36,6.52,709.0,Black Soil,Kharif,Vadodara,Medium,Cotton
79,52,41,27.13,73.4,6.96,863.33,Red Soil,Kharif,Vadodara,High,Maize
85,47,50,26.61,76.5,6.26,1027.48,Red Soil,Kharif,Banaskantha,High,Maize
34,37,32,23.79,35.9,6.45,173.47,Alluvial Soil,Rabi,Jamnagar,Low,Cumin
36,30,28,29.25,50.13,6.67,434.04,Alluvial Soil,Kharif,Bhavnagar,Low,Sesame
82,38,45,18.43,45.94,6.58,148.89,Black Soil,Rabi,Banaskantha,Medium,Wheat
56,34,33,37.18,48.08,6.41,297.62,Loamy Soil,Kharif,Mehsana,Low,Bajra
82,45,51,21.08,49.77,6.34,189.08,Black Soil,Rabi,Rajkot,Medium,Wheat
100,40,42,18.4,41.45,6.57,231.16,Clay Soil,Rabi,Mehsana,Medium,Wheat
99,53,46,27.32,64.61,5.59,1038.85,Alluvial Soil,Kharif,Anand,High,Maize
40,29,27,22.46,37.17,6.8,125.99,Sandy Soil,Rabi,Rajkot,Low,Cumin
52,35,21,30.97,52.79,5.78,471.53,Alluvial Soil,Kharif,Banaskantha,Low,Castor
54,26,26,30.63,54.03,6.36,468.75,Sandy Soil,Kharif,Mehsana,Low,Castor
96,66,48,31.64,62.21,7.05,857.81,Alluvial Soil,Kharif,Jamnagar,High,Cotton
57,45,33,32.88,37.44,6.32,251.2,Loamy Soil,Kharif,Jamnagar,Low,Bajra
48,37,25,31.55,55.3,6.98,526.24,Alluvial Soil,Kharif,Rajkot,Low,Castor
48,34,27,33.95,42.58,7.36,229.67,Sandy Soil,Kharif,Mehsana,Low,Bajra
36,30,29,31.13,50.98,6.59,359.74,Sandy Soil,Kharif,Kutch,Low,Sesame
93,54,41,27.6,75.57,7.04,847.72,Loamy Soil,Kharif,Ahmedabad,High,Maize
95,45,46,19.66,45.98,6.48,209.12,Clay Soil,Rabi,Banaskantha,Medium,Wheat
28,28,24,28.71,50.82,7.13,413.47,Sandy Soil,Kharif,Kutch,Low,Sesame
55,28,25,36.4,37.31,7.27,302.25,Sandy Soil,Kharif,Jamnagar,Low,Bajra
42,35,27,21.0,34.82,6.11,58.0,Alluvial Soil,Rabi,Kutch,Low,Cumin
40,25,28,28.92,46.06,6.09,423.09,Sandy Soil,Kharif,Rajkot,Low,Sesame
58,34,19,33.39,52.83,6.6,486.37,Loamy Soil,Kharif,Mehsana,Low,Castor
33,30,24,30.87,49.55,6.14,386.78,Sandy Soil,Kharif,Bhavnagar,Low,Sesame
31,46,38,24.53,39.69,6.88,137.84,Loamy Soil,Rabi,Jamnagar,Low,Gram
48,31,16,31.12,58.36,6.87,332.33,Loamy Soil,Kharif,Mehsana,Low,Castor
39,52,29,27.21,73.7,6.21,657.63,Sandy Soil,Kharif,Amreli,Medium,Groundnut
27,28,25,27.18,52.76,6.2,364.35,Sandy Soil,Kharif,Kutch,Low,Sesame
78,40,48,20.99,47.54,7.74,227.47,Alluvial Soil,Rabi,Mehsana,Medium,Wheat
80,48,48,17.62,43.83,6.5,259.73,Clay Soil,Rabi,Rajkot,Medium,Wheat
97,44,49,19.72,50.54,5.74,188.37,Black Soil,Rabi,Banaskantha,Medium,Wheat
51,49,32,20.1,55.31,6.89,169.24,Sandy Soil,Rabi,Jamnagar,Low,Mustard
78,44,42,20.9,41.9,5.78,196.42,Loamy Soil,Rabi,Rajkot,Medium,Wheat
33,46,37,18.21,43.27,6.69,221.85,Loamy Soil,Rabi,Junagadh,Low,Gram
57,41,31,19.01,53.46,6.65,153.65,Alluvial Soil,Rabi,Mehsana,Low,Mustard
55,29,32,34.26,42.53,5.97,189.98,Loamy Soil,Kharif,Ahmedabad,Low,Bajra
32,25,26,29.76,45.93,5.85,389.47,Loamy Soil,Kharif,Rajkot,Low,Sesame
96,52,46,33.63,61.41,6.12,869.09,Alluvial Soil,Kharif,Amreli,Medium,Cotton
73,52,44,27.34,73.58,6.52,974.09,Loamy Soil,Kharif,Vadodara,High,Maize
49,38,28,27.66,59.83,6.38,384.47,Alluvial Soil,Kharif,Kutch,Low,Castor
88,48,44,26.99,72.71,6.09,782.01,Loamy Soil,Kharif,Anand,High,Maize
72,45,43,26.12,69.27,6.45,854.5,Loamy Soil,Kharif,Vadodara,High,Maize
100,47,46,30.0,69.54,6.35,767.41,Alluvial Soil,Kharif,Amreli,High,Cotton
31,34,28,23.19,30.27,6.43,115.43,Sandy Soil,Rabi,Rajkot,Low,Cumin
44,38,31,31.17,53.43,6.3,403.41,Alluvial Soil,Kharif,Kutch,Low,Castor
56,31,27,36.04,40.43,6.84,164.25,Loamy Soil,Kharif,Jamnagar,Low,Bajra
37,50,31,28.57,72.22,6.47,631.13,Sandy Soil,Kharif,Jamnagar,Medium,Groundnut
63,41,30,34.59,40.25,6.83,262.95,Sandy Soil,Kharif,Banaskantha,Low,Bajra
65,36,30,34.19,35.84,6.35,292.92,Loamy Soil,Kharif,Mehsana,Low,Bajra
87,53,53,30.33,65.62,6.97,800.83,Alluvial Soil,Kharif,Rajkot,High,Cotton
105,38,56,22.09,47.85,5.68,198.15,Alluvial Soil,Rabi,Anand,Medium,Wheat
55,23,26,37.34,41.09,6.24,204.33,Loamy Soil,Kharif,Ahmedabad,Low,Bajra
74,54,37,23.1,74.12,6.07,1017.13,Red Soil,Kharif,Banaskantha,High,Maize
53,33,34,16.86,53.27,6.11,170.4,Alluvial Soil,Rabi,Ahmedabad,Low,Mustard
52,30,33,33.0,39.26,5.87,284.04,Sandy Soil,Kharif,Ahmedabad,Low,Bajra
53,34,28,27.19,57.2,6.3,409.63,Loamy Soil,Kharif,Anand,Low,Castor
58,44,39,18.53,55.24,6.76,165.46,Alluvial Soil,Rabi,Jamnagar,Low,Mustard
96,52,39,26.78,74.13,5.75,873.87,Red Soil,Kharif,Anand,High,Maize
89,38,44,22.67,46.23,6.6,230.22,Alluvial Soil,Rabi,Mehsana,Medium,Wheat
34,23,23,22.96,30.25,5.79,136.27,Loamy Soil,Rabi,Mehsana,Low,Cumin
33,31,24,26.4,34.13,6.85,120.75,Alluvial Soil,Rabi,Kutch,Low,Cumin
130,50,50,31.13,65.98,6.38,772.63,Black Soil,Kharif,Amreli,Medium,Cotton
45,38,36,18.31,51.19,6.32,164.3,Alluvial Soil,Rabi,Banaskantha,Low,Mustard
37,28,35,23.28,29.99,6.83,115.72,Sandy Soil,Rabi,Jamnagar,Low,Cumin
